latitude,longitude,thickness,error,error_r,dataset,cluster
-40.13332,-71.46459,0.15000000000000002,0.18429014391132573,0.9699481258490827,assimila,1
-40.15924,-71.53774,0.1,0.18429014391132573,0.9699481258490827,assimila,1
-40.13193,-71.64309,0.1,0.18429014391132573,0.9699481258490827,assimila,1
-41.14622,-72.42059,6.75,12.045885860393007,0.7789407439541389,assimila,4
-41.309,-72.44892,5.0,12.045885860393007,0.7789407439541389,assimila,4
-41.282,-72.4741,20.5,12.045885860393007,0.7789407439541389,assimila,4
-40.663,-72.14714,1.0,0.6627988993294882,1.2624740939609298,assimila,3
-41.14688,-72.58171,1.5,0.6627988993294882,1.2624740939609298,assimila,3
-41.18684,-72.54333,11.25,12.045885860393007,0.7789407439541389,assimila,4
-41.2033,-72.53787,11.0,12.045885860393007,0.7789407439541389,assimila,4
-41.13802,-72.40544,7.5,12.045885860393007,0.7789407439541389,assimila,4
-41.17268,-72.45069,12.0,12.045885860393007,0.7789407439541389,assimila,4
-41.21414,-72.51678,25.0,12.045885860393007,0.7789407439541389,assimila,4
-41.18116,-72.46304,11.0,12.045885860393007,0.7789407439541389,assimila,4
-41.2328,-72.51724,21.5,12.045885860393007,0.7789407439541389,assimila,4
-41.28197,-72.47389,23.5,12.045885860393007,0.7789407439541389,assimila,4
-41.2243757,-72.5541366,20.0,12.045885860393007,0.7789407439541389,assimila,4
-41.1070308,-72.2989037,3.3,12.045885860393007,0.7789407439541389,assimila,4
-41.2282049,-72.2660629,1.2,0.6627988993294882,1.2624740939609298,assimila,3
-41.1754062,-72.2633141,2.9,12.045885860393007,0.7789407439541389,assimila,4
-41.0791792,-72.2391623,2.6,12.045885860393007,0.7789407439541389,assimila,4
-41.0796841,-72.3763224,3.8,12.045885860393007,0.7789407439541389,assimila,4
-41.1380253,-72.399135,6.0,12.045885860393007,0.7789407439541389,assimila,4
-41.1464847,-72.4208436,6.3,12.045885860393007,0.7789407439541389,assimila,4
-41.1734697,-72.4516114,7.8,12.045885860393007,0.7789407439541389,assimila,4
-41.1844016,-72.4653747,9.6,12.045885860393007,0.7789407439541389,assimila,4
-41.2079186,-72.4966681,14.6,12.045885860393007,0.7789407439541389,assimila,4
-41.2163772,-72.5129253,16.8,12.045885860393007,0.7789407439541389,assimila,4
-41.2455981,-72.4795374,18.5,12.045885860393007,0.7789407439541389,assimila,4
-41.3066072,-72.4544936,5.2,12.045885860393007,0.7789407439541389,assimila,4
-41.3022912,-72.2701944,0.2,0.6627988993294882,1.2624740939609298,assimila,3
-41.3839584,-72.3036707,0.08,0.6627988993294882,1.2624740939609298,assimila,3
-41.2960893,-72.5571905,55.0,12.045885860393007,0.7789407439541389,assimila,4
-41.254226,-72.5369107,35.0,12.045885860393007,0.7789407439541389,assimila,4
-41.2831413,-72.7503905,0.0,0.6627988993294882,1.2624740939609298,assimila,3
-41.2938749,-72.7328246,0.0,0.6627988993294882,1.2624740939609298,assimila,3
-41.2325263,-72.5925488,14.5,12.045885860393007,0.7789407439541389,assimila,4
-41.1711593,-72.5654155,4.0,12.045885860393007,0.7789407439541389,assimila,4
-41.0625859,-72.4860065,2.0,0.6627988993294882,1.2624740939609298,assimila,3
-41.0435978,-72.5116531,1.0,0.6627988993294882,1.2624740939609298,assimila,3
-41.2220516,-72.6646871,1.0,0.6627988993294882,1.2624740939609298,assimila,3
-41.2270919,-72.6380348,2.0,0.6627988993294882,1.2624740939609298,assimila,3
-41.2326527,-72.6081142,10.0,12.045885860393007,0.7789407439541389,assimila,4
-41.2249044,-72.562074,28.0,12.045885860393007,0.7789407439541389,assimila,4
-41.2088736,-72.5363354,17.0,12.045885860393007,0.7789407439541389,assimila,4
-41.259249,-72.478153,25.0,12.045885860393007,0.7789407439541389,assimila,4
-41.214961,-72.5169986,18.0,12.045885860393007,0.7789407439541389,assimila,4
-41.0818243,-72.639187,0.0,0.6627988993294882,1.2624740939609298,assimila,3
-41.1321063,-72.596321,0.3,0.6627988993294882,1.2624740939609298,assimila,3
